,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,16,tket,circuits/phasepoly/9qubits/100gadgets/Original9.qasm,,1241,1601,99,1336,100,0 days 00:00:00.286788000,,gray,nash,count,0.2222222222222222,9q-line
0,17,tket,circuits/phasepoly/9qubits/100gadgets/Original15.qasm,,1156,1426,99,1252,100,0 days 00:00:00.278782000,,gray,nash,count,0.2222222222222222,9q-line
0,18,tket,circuits/phasepoly/9qubits/100gadgets/Original5.qasm,,1354,1700,99,1450,100,0 days 00:00:00.266376000,,gray,nash,count,0.2222222222222222,9q-line
0,19,tket,circuits/phasepoly/9qubits/100gadgets/Original19.qasm,,1096,1388,99,1191,100,0 days 00:00:00.249107000,,gray,nash,count,0.2222222222222222,9q-line
0,0,steiner,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,100,334,577,86,384,100,0 days 00:00:00.071622000,,arianne,,count,0.2222222222222222,9q-line
0,1,steiner,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,100,345,582,76,382,100,0 days 00:00:00.069010000,,arianne,,count,0.2222222222222222,9q-line
0,2,steiner,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,100,331,580,73,364,100,0 days 00:00:00.073040000,,arianne,,count,0.2222222222222222,9q-line
0,3,steiner,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,100,381,627,90,426,100,0 days 00:00:00.075537000,,arianne,,count,0.2222222222222222,9q-line
0,4,steiner,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,100,309,602,70,331,100,0 days 00:00:00.078046000,,arianne,,count,0.2222222222222222,9q-line
0,5,steiner,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,100,320,574,88,370,100,0 days 00:00:00.117256000,,arianne,,count,0.2222222222222222,9q-line
0,6,steiner,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,100,333,592,83,383,100,0 days 00:00:00.086891000,,arianne,,count,0.2222222222222222,9q-line
0,7,steiner,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,100,291,561,57,302,100,0 days 00:00:00.092246000,,arianne,,count,0.2222222222222222,9q-line
0,8,steiner,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,100,276,547,61,287,100,0 days 00:00:00.098915000,,arianne,,count,0.2222222222222222,9q-line
0,9,steiner,circuits/phasepoly/9qubits/100gadgets/Original2.qasm,100,289,587,60,298,100,0 days 00:00:00.090236000,,arianne,,count,0.2222222222222222,9q-line
0,10,steiner,circuits/phasepoly/9qubits/100gadgets/Original3.qasm,100,351,620,86,393,100,0 days 00:00:00.103096000,,arianne,,count,0.2222222222222222,9q-line
0,11,steiner,circuits/phasepoly/9qubits/100gadgets/Original13.qasm,100,333,572,81,366,100,0 days 00:00:00.138268000,,arianne,,count,0.2222222222222222,9q-line
0,12,steiner,circuits/phasepoly/9qubits/100gadgets/Original18.qasm,100,312,555,79,343,100,0 days 00:00:00.094792000,,arianne,,count,0.2222222222222222,9q-line
0,13,steiner,circuits/phasepoly/9qubits/100gadgets/Original4.qasm,100,332,617,69,351,100,0 days 00:00:00.114184000,,arianne,,count,0.2222222222222222,9q-line
0,14,steiner,circuits/phasepoly/9qubits/100gadgets/Original14.qasm,100,326,618,63,338,100,0 days 00:00:00.127621000,,arianne,,count,0.2222222222222222,9q-line
0,15,steiner,circuits/phasepoly/9qubits/100gadgets/Original8.qasm,100,361,640,89,404,100,0 days 00:00:00.118800000,,arianne,,count,0.2222222222222222,9q-line
0,16,steiner,circuits/phasepoly/9qubits/100gadgets/Original9.qasm,100,307,579,68,326,100,0 days 00:00:00.082833000,,arianne,,count,0.2222222222222222,9q-line
0,17,steiner,circuits/phasepoly/9qubits/100gadgets/Original15.qasm,100,312,614,78,328,100,0 days 00:00:00.097146000,,arianne,,count,0.2222222222222222,9q-line
0,18,steiner,circuits/phasepoly/9qubits/100gadgets/Original5.qasm,100,321,611,78,347,100,0 days 00:00:00.094936000,,arianne,,count,0.2222222222222222,9q-line
0,19,steiner,circuits/phasepoly/9qubits/100gadgets/Original19.qasm,100,307,601,61,315,100,0 days 00:00:00.092979000,,arianne,,count,0.2222222222222222,9q-line
0,0,steiner,circuits/phasepoly/16qubits/100gadgets/Original6.qasm,100,749,2519,100,772,100,0 days 00:00:04.784817000,,gray,nash,count,0.125,16q-line
0,1,steiner,circuits/phasepoly/16qubits/100gadgets/Original16.qasm,100,748,2857,98,757,100,0 days 00:00:03.541021000,,gray,nash,count,0.125,16q-line
0,2,steiner,circuits/phasepoly/16qubits/100gadgets/Original17.qasm,100,748,2680,100,759,100,0 days 00:00:03.803075000,,gray,nash,count,0.125,16q-line
0,3,steiner,circuits/phasepoly/16qubits/100gadgets/Original7.qasm,100,713,2634,96,721,100,0 days 00:00:03.308569000,,gray,nash,count,0.125,16q-line
0,4,steiner,circuits/phasepoly/16qubits/100gadgets/Original10.qasm,100,735,2904,97,744,100,0 days 00:00:04.400149000,,gray,nash,count,0.125,16q-line
0,5,steiner,circuits/phasepoly/16qubits/100gadgets/Original0.qasm,100,723,2504,99,742,100,0 days 00:00:06.560349000,,gray,nash,count,0.125,16q-line
0,6,steiner,circuits/phasepoly/16qubits/100gadgets/Original1.qasm,100,752,2782,98,762,100,0 days 00:00:05.583561000,,gray,nash,count,0.125,16q-line
0,7,steiner,circuits/phasepoly/16qubits/100gadgets/Original11.qasm,100,741,2688,97,752,100,0 days 00:00:04.233433000,,gray,nash,count,0.125,16q-line
0,8,steiner,circuits/phasepoly/16qubits/100gadgets/Original12.qasm,100,702,2505,99,722,100,0 days 00:00:04.412413000,,gray,nash,count,0.125,16q-line
0,9,steiner,circuits/phasepoly/16qubits/100gadgets/Original2.qasm,100,785,2899,99,792,100,0 days 00:00:06.111241000,,gray,nash,count,0.125,16q-line
0,10,steiner,circuits/phasepoly/16qubits/100gadgets/Original3.qasm,100,750,3045,99,761,100,0 days 00:00:06.190771000,,gray,nash,count,0.125,16q-line
0,11,steiner,circuits/phasepoly/16qubits/100gadgets/Original13.qasm,100,782,2955,100,793,100,0 days 00:00:05.999428000,,gray,nash,count,0.125,16q-line
0,12,steiner,circuits/phasepoly/16qubits/100gadgets/Original18.qasm,100,793,3069,98,801,100,0 days 00:00:05.869407000,,gray,nash,count,0.125,16q-line
0,13,steiner,circuits/phasepoly/16qubits/100gadgets/Original4.qasm,100,684,2417,98,700,100,0 days 00:00:05.669509000,,gray,nash,count,0.125,16q-line
0,14,steiner,circuits/phasepoly/16qubits/100gadgets/Original14.qasm,100,788,2765,98,799,100,0 days 00:00:05.691196000,,gray,nash,count,0.125,16q-line
0,15,steiner,circuits/phasepoly/16qubits/100gadgets/Original8.qasm,100,736,2686,99,744,100,0 days 00:00:05.649927000,,gray,nash,count,0.125,16q-line
0,16,steiner,circuits/phasepoly/16qubits/100gadgets/Original9.qasm,100,759,2653,99,771,100,0 days 00:00:05.813657000,,gray,nash,count,0.125,16q-line
0,17,steiner,circuits/phasepoly/16qubits/100gadgets/Original15.qasm,100,768,2866,93,776,100,0 days 00:00:05.775889000,,gray,nash,count,0.125,16q-line
0,18,steiner,circuits/phasepoly/16qubits/100gadgets/Original5.qasm,100,760,2709,99,769,100,0 days 00:00:05.740802000,,gray,nash,count,0.125,16q-line
0,19,steiner,circuits/phasepoly/16qubits/100gadgets/Original19.qasm,100,739,2819,97,751,100,0 days 00:00:05.670213000,,gray,nash,count,0.125,16q-line
0,0,tket,circuits/phasepoly/16qubits/100gadgets/Original6.qasm,,3947,4814,100,4045,100,0 days 00:00:01.483346000,,gray,nash,count,0.125,16q-line
0,1,tket,circuits/phasepoly/16qubits/100gadgets/Original16.qasm,,4012,4582,100,4111,100,0 days 00:00:01.330838000,,gray,nash,count,0.125,16q-line
0,2,tket,circuits/phasepoly/16qubits/100gadgets/Original17.qasm,,3742,4373,100,3842,100,0 days 00:00:01.512027000,,gray,nash,count,0.125,16q-line
0,3,tket,circuits/phasepoly/16qubits/100gadgets/Original7.qasm,,4205,5222,100,4301,100,0 days 00:00:01.597297000,,gray,nash,count,0.125,16q-line
0,4,tket,circuits/phasepoly/16qubits/100gadgets/Original10.qasm,,3676,4455,100,3775,100,0 days 00:00:01.308603000,,gray,nash,count,0.125,16q-line
0,5,tket,circuits/phasepoly/16qubits/100gadgets/Original0.qasm,,3753,4399,100,3852,100,0 days 00:00:01.442908000,,gray,nash,count,0.125,16q-line
0,6,tket,circuits/phasepoly/16qubits/100gadgets/Original1.qasm,,3663,4282,100,3763,100,0 days 00:00:01.373873000,,gray,nash,count,0.125,16q-line
