,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,35,steiner,GENERATED,10,313,965,10,313,10,0 days 00:00:02.901225000,10,170,222,7,177,10,,,,arianne,,count,0.09523809523809523,36q-square
0,36,steiner,GENERATED,10,312,962,7,312,10,0 days 00:00:03.015885000,10,166,225,8,174,10,,,,arianne,,count,0.09523809523809523,36q-square
0,37,steiner,GENERATED,10,321,1025,7,321,10,0 days 00:00:02.749581000,10,172,196,9,181,10,,,,arianne,,count,0.09523809523809523,36q-square
0,38,steiner,GENERATED,10,306,1060,8,306,10,0 days 00:00:02.971237000,10,187,249,8,195,10,,,,arianne,,count,0.09523809523809523,36q-square
0,39,steiner,GENERATED,10,308,1019,7,308,10,0 days 00:00:02.842787000,10,174,222,8,182,10,,,,arianne,,count,0.09523809523809523,36q-square
0,40,steiner,GENERATED,100,838,4021,68,846,100,0 days 00:00:04.221715000,100,1615,1682,96,1711,100,,,,arianne,,count,0.09523809523809523,36q-square
0,41,steiner,GENERATED,100,875,4014,64,878,100,0 days 00:00:04.560291000,100,1564,1731,91,1655,100,,,,arianne,,count,0.09523809523809523,36q-square
0,42,steiner,GENERATED,100,802,3912,67,806,100,0 days 00:00:04.296279000,100,1647,1755,95,1742,100,,,,arianne,,count,0.09523809523809523,36q-square
0,43,steiner,GENERATED,100,828,3968,66,831,100,0 days 00:00:04.443471000,100,1607,1699,95,1702,100,,,,arianne,,count,0.09523809523809523,36q-square
0,44,steiner,GENERATED,100,803,4089,74,809,100,0 days 00:00:04.365015000,100,1555,1687,95,1650,100,,,,arianne,,count,0.09523809523809523,36q-square
0,45,steiner,GENERATED,100,819,3961,65,824,100,0 days 00:00:04.591429000,100,1604,1700,95,1699,100,,,,arianne,,count,0.09523809523809523,36q-square
0,46,steiner,GENERATED,100,882,3998,71,883,100,0 days 00:00:04.560643000,100,1566,1673,94,1660,100,,,,arianne,,count,0.09523809523809523,36q-square
0,47,steiner,GENERATED,100,805,4005,72,807,100,0 days 00:00:04.466749000,100,1579,1696,94,1673,100,,,,arianne,,count,0.09523809523809523,36q-square
0,48,steiner,GENERATED,100,792,3891,64,797,100,0 days 00:00:04.432237000,100,1624,1718,96,1720,100,,,,arianne,,count,0.09523809523809523,36q-square
0,49,steiner,GENERATED,100,911,4049,72,914,100,0 days 00:00:04.374589000,100,1639,1698,97,1736,100,,,,arianne,,count,0.09523809523809523,36q-square
