,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,35,steiner,circuits/phasepoly/16qubits/1gadgets/Original8.qasm,1,16,26,1,17,1,0 days 00:00:00.058313000,,arianne,,count,0.15,rigetti_16q_aspen
0,36,steiner,circuits/phasepoly/16qubits/1gadgets/Original9.qasm,1,34,34,1,35,1,0 days 00:00:00.063131000,,arianne,,count,0.15,rigetti_16q_aspen
0,37,steiner,circuits/phasepoly/16qubits/1gadgets/Original15.qasm,1,40,40,1,41,1,0 days 00:00:00.059996000,,arianne,,count,0.15,rigetti_16q_aspen
0,38,steiner,circuits/phasepoly/16qubits/1gadgets/Original5.qasm,1,34,34,1,35,1,0 days 00:00:00.077323000,,arianne,,count,0.15,rigetti_16q_aspen
0,39,steiner,circuits/phasepoly/16qubits/1gadgets/Original19.qasm,1,28,28,1,29,1,0 days 00:00:00.066982000,,arianne,,count,0.15,rigetti_16q_aspen
0,40,steiner,circuits/phasepoly/16qubits/10gadgets/Original6.qasm,10,124,302,9,128,10,0 days 00:00:00.116879000,,arianne,,count,0.15,rigetti_16q_aspen
0,41,steiner,circuits/phasepoly/16qubits/10gadgets/Original16.qasm,10,154,391,6,156,10,0 days 00:00:00.145168000,,arianne,,count,0.15,rigetti_16q_aspen
0,42,steiner,circuits/phasepoly/16qubits/10gadgets/Original17.qasm,10,142,397,7,142,10,0 days 00:00:00.140678000,,arianne,,count,0.15,rigetti_16q_aspen
0,43,steiner,circuits/phasepoly/16qubits/10gadgets/Original7.qasm,10,185,410,9,189,10,0 days 00:00:00.128274000,,arianne,,count,0.15,rigetti_16q_aspen
0,44,steiner,circuits/phasepoly/16qubits/10gadgets/Original10.qasm,10,130,337,8,131,10,0 days 00:00:00.113977000,,arianne,,count,0.15,rigetti_16q_aspen
0,45,steiner,circuits/phasepoly/16qubits/10gadgets/Original0.qasm,10,136,331,9,140,10,0 days 00:00:00.106995000,,arianne,,count,0.15,rigetti_16q_aspen
0,46,steiner,circuits/phasepoly/16qubits/10gadgets/Original1.qasm,10,152,374,9,157,10,0 days 00:00:00.121178000,,arianne,,count,0.15,rigetti_16q_aspen
0,47,steiner,circuits/phasepoly/16qubits/10gadgets/Original11.qasm,10,160,397,10,162,10,0 days 00:00:00.159353000,,arianne,,count,0.15,rigetti_16q_aspen
0,48,steiner,circuits/phasepoly/16qubits/10gadgets/Original12.qasm,10,163,395,8,169,10,0 days 00:00:00.141681000,,arianne,,count,0.15,rigetti_16q_aspen
0,49,steiner,circuits/phasepoly/16qubits/10gadgets/Original2.qasm,10,141,381,10,144,10,0 days 00:00:00.134741000,,arianne,,count,0.15,rigetti_16q_aspen
0,50,steiner,circuits/phasepoly/16qubits/10gadgets/Original3.qasm,10,141,325,9,143,10,0 days 00:00:00.150230000,,arianne,,count,0.15,rigetti_16q_aspen
0,51,steiner,circuits/phasepoly/16qubits/10gadgets/Original13.qasm,10,130,292,7,131,10,0 days 00:00:00.127529000,,arianne,,count,0.15,rigetti_16q_aspen
0,52,steiner,circuits/phasepoly/16qubits/10gadgets/Original18.qasm,10,115,334,6,115,10,0 days 00:00:00.106027000,,arianne,,count,0.15,rigetti_16q_aspen
0,53,steiner,circuits/phasepoly/16qubits/10gadgets/Original4.qasm,10,121,363,5,121,10,0 days 00:00:00.156717000,,arianne,,count,0.15,rigetti_16q_aspen
