,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,17,tket,circuits/phasepoly/9qubits/100gadgets/Original15.qasm,,571,582,99,670,100,0 days 00:00:00.149644000,,gray,nash,count,1.0,9q-fully_connected
0,18,tket,circuits/phasepoly/9qubits/100gadgets/Original5.qasm,,613,630,99,712,100,0 days 00:00:00.154532000,,gray,nash,count,1.0,9q-fully_connected
0,19,tket,circuits/phasepoly/9qubits/100gadgets/Original19.qasm,,597,616,98,695,100,0 days 00:00:00.171469000,,gray,nash,count,1.0,9q-fully_connected
0,0,steiner,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,100,169,239,53,205,100,0 days 00:00:00.063937000,,arianne,,count,1.0,9q-fully_connected
0,1,steiner,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,100,160,230,58,198,100,0 days 00:00:00.069772000,,arianne,,count,1.0,9q-fully_connected
0,2,steiner,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,100,152,223,54,189,100,0 days 00:00:00.055385000,,arianne,,count,1.0,9q-fully_connected
0,3,steiner,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,100,168,242,48,199,100,0 days 00:00:00.128881000,,arianne,,count,1.0,9q-fully_connected
0,4,steiner,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,100,159,228,57,204,100,0 days 00:00:00.108188000,,arianne,,count,1.0,9q-fully_connected
0,5,steiner,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,100,186,253,60,219,100,0 days 00:00:00.115785000,,arianne,,count,1.0,9q-fully_connected
0,6,steiner,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,100,162,229,58,199,100,0 days 00:00:00.069476000,,arianne,,count,1.0,9q-fully_connected
0,7,steiner,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,100,165,235,49,194,100,0 days 00:00:00.301976000,,arianne,,count,1.0,9q-fully_connected
0,8,steiner,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,100,164,234,55,201,100,0 days 00:00:00.088369000,,arianne,,count,1.0,9q-fully_connected
0,9,steiner,circuits/phasepoly/9qubits/100gadgets/Original2.qasm,100,159,231,56,195,100,0 days 00:00:00.093685000,,arianne,,count,1.0,9q-fully_connected
0,10,steiner,circuits/phasepoly/9qubits/100gadgets/Original3.qasm,100,154,233,56,189,100,0 days 00:00:00.121395000,,arianne,,count,1.0,9q-fully_connected
0,11,steiner,circuits/phasepoly/9qubits/100gadgets/Original13.qasm,100,164,238,57,199,100,0 days 00:00:00.124815000,,arianne,,count,1.0,9q-fully_connected
0,12,steiner,circuits/phasepoly/9qubits/100gadgets/Original18.qasm,100,164,229,59,202,100,0 days 00:00:00.122666000,,arianne,,count,1.0,9q-fully_connected
0,13,steiner,circuits/phasepoly/9qubits/100gadgets/Original4.qasm,100,178,250,63,213,100,0 days 00:00:00.134769000,,arianne,,count,1.0,9q-fully_connected
0,14,steiner,circuits/phasepoly/9qubits/100gadgets/Original14.qasm,100,166,247,58,199,100,0 days 00:00:00.121767000,,arianne,,count,1.0,9q-fully_connected
0,15,steiner,circuits/phasepoly/9qubits/100gadgets/Original8.qasm,100,173,242,56,202,100,0 days 00:00:00.195517000,,arianne,,count,1.0,9q-fully_connected
0,16,steiner,circuits/phasepoly/9qubits/100gadgets/Original9.qasm,100,161,231,53,193,100,0 days 00:00:00.309563000,,arianne,,count,1.0,9q-fully_connected
0,17,steiner,circuits/phasepoly/9qubits/100gadgets/Original15.qasm,100,172,244,55,204,100,0 days 00:00:00.281868000,,arianne,,count,1.0,9q-fully_connected
0,18,steiner,circuits/phasepoly/9qubits/100gadgets/Original5.qasm,100,176,247,54,210,100,0 days 00:00:00.090192000,,arianne,,count,1.0,9q-fully_connected
0,19,steiner,circuits/phasepoly/9qubits/100gadgets/Original19.qasm,100,163,240,56,202,100,0 days 00:00:00.213363000,,arianne,,count,1.0,9q-fully_connected
0,0,steiner,circuits/phasepoly/16qubits/100gadgets/Original6.qasm,100,597,636,96,693,100,0 days 00:00:06.338547000,,gray,nash,count,1.0,16q-fully_connected
0,1,steiner,circuits/phasepoly/16qubits/100gadgets/Original16.qasm,100,595,639,95,689,100,0 days 00:00:04.344252000,,gray,nash,count,1.0,16q-fully_connected
